,Planet Name,Planet Mass,Planet Radius,Distance from Earth,Star Name,Equilibrium Temperature,Stellar Temperature,Stellar Radius,Distance from Host Star,Number of Planets in System,Habitability
78,Kepler-1054 b,7.41,2.63,1090.51,Kepler-1054,1177.0,6108.0,1.03,0.054,0,1
79,Kepler-1055 b,2.04,1.23,389.397,Kepler-1055,1304.0,5637.0,0.909,0.0331,0,1
80,Kepler-1056 b,9.32,3.01,982.51,Kepler-1056,590.0,5657.0,0.911,0.1629,0,1
81,Kepler-1057 b,11.2,3.36,1201.82,Kepler-1057,724.0,5853.0,0.895,0.1138,0,1
82,Kepler-1058 b,7.85,2.72,491.997,Kepler-1058,239.0,4441.0,0.546,0.3679,0,1
83,Kepler-1059 b,3.64,1.73,713.167,Kepler-1059,908.0,5063.0,0.728,0.044,0,1
84,Kepler-106 b,5.3,0.82,444.322,Kepler-106,1021.0,5854.0,1.012,0.0648,0,4
85,Kepler-106 c,10.44,2.5,444.322,Kepler-106,785.0,5854.0,1.012,0.1096,0,4
86,Kepler-106 d,8.1,0.95,444.322,Kepler-106,649.0,5854.0,1.012,0.1602,0,4
87,Kepler-106 e,11.17,2.56,444.322,Kepler-106,531.0,5854.0,1.012,0.2395,0,4
88,Kepler-1060 b,6.26,2.38,946.565,Kepler-1060,484.0,5504.0,0.993,0.2495,0,1
89,Kepler-1061 b,4.58,1.98,543.375,Kepler-1061,1332.0,5919.0,1.0,0.0384,0,1
90,Kepler-1062 b,3.75,1.76,397.455,Kepler-1062,583.0,4458.0,0.658,0.0748,0,1
91,Kepler-1063 b,2.83,1.49,343.226,Kepler-1063,931.0,5821.0,1.547,0.1176,0,1
92,Kepler-1064 b,3.02,1.55,374.0,Kepler-1064,570.0,5064.0,0.769,0.1183,0,1
93,Kepler-1065 b,13.4,3.73,1122.48,Kepler-1065,1092.0,5668.0,0.868,0.0455,0,2
94,Kepler-1065 c,3.19,1.6,1122.48,Kepler-1065,1256.0,5668.0,0.868,0.0344,0,2
95,Kepler-1066 b,6.17,2.36,344.251,Kepler-1066,1290.0,5461.0,0.858,0.0299,0,1
96,Kepler-1067 b,0.437,0.8,667.693,Kepler-1067,1872.0,5594.0,0.934,0.0162,0,2
97,Kepler-1067 c,3.7,1.747,667.693,Kepler-1067,973.0,5594.0,0.934,0.0601,0,2
98,Kepler-1068 b,12.8,3.63,1473.61,Kepler-1068,702.0,5786.0,0.99,0.1309,0,1
99,Kepler-1069 b,3.19,1.6,695.967,Kepler-1069,823.0,5511.0,1.93,0.1685,0,1
100,Kepler-107 b,3.51,1.536,525.997,Kepler-107,1458.0,5847.0,1.402,0.04544,0,4
101,Kepler-107 c,9.39,1.597,525.997,Kepler-107,1262.0,5847.0,1.402,0.06064,0,4
102,Kepler-107 d,3.8,0.86,525.997,Kepler-107,1074.0,5847.0,1.402,0.08377,0,4
103,Kepler-107 e,8.6,2.903,525.997,Kepler-107,874.0,5847.0,1.402,0.12639,0,4
104,Kepler-1070 b,3.64,1.73,939.001,Kepler-1070,1101.0,6277.0,1.097,0.0693,0,1
105,Kepler-1071 b,6.26,2.38,1042.27,Kepler-1071,814.0,5149.0,0.791,0.0615,0,1
106,Kepler-1072 b,3.12,1.58,982.716,Kepler-1072,1849.0,5821.0,1.395,0.0269,0,1
107,Kepler-1073 b,5.9,2.3,809.897,Kepler-1073,905.0,5509.0,1.116,0.0805,0,3
108,Kepler-1073 c,3.33,1.64,809.897,Kepler-1073,1169.0,5509.0,1.116,0.0483,0,3
